,TARGET,CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY
110196,0,Cash loans,F,N,Y,0,67500.0,47970.0,4873.5
104617,0,Cash loans,F,N,Y,0,135000.0,647046.0,25200.0
146298,0,Revolving loans,M,Y,Y,0,180000.0,270000.0,13500.0
90458,0,Cash loans,F,N,Y,1,90000.0,450000.0,16677.0
1947,0,Cash loans,M,N,N,0,112500.0,427869.0,22153.5
272171,0,Cash loans,M,N,Y,1,112500.0,499221.0,25618.5
67730,0,Cash loans,M,Y,Y,0,270000.0,454500.0,26091.0
75664,1,Cash loans,F,N,N,0,180000.0,2687355.0,67932.0
4890,0,Cash loans,M,Y,N,0,135000.0,1485000.0,45153.0
77930,0,Cash loans,F,N,Y,0,76500.0,1040463.0,30550.5
227308,0,Cash loans,F,Y,Y,2,112500.0,315000.0,15151.5
274065,0,Cash loans,F,Y,Y,2,225000.0,1125000.0,33025.5
173050,0,Cash loans,F,N,Y,1,112500.0,495882.0,39307.5
91941,0,Cash loans,F,N,Y,2,67500.0,148365.0,11781.0
240150,0,Cash loans,F,N,Y,0,202500.0,619749.0,43263.0
145259,0,Cash loans,F,Y,N,0,202500.0,770292.0,30676.5
245635,0,Cash loans,F,N,Y,0,157500.0,571446.0,16839.0
2261,0,Cash loans,M,N,Y,0,135000.0,497520.0,33246.0
158398,0,Cash loans,F,N,Y,0,112500.0,1354500.0,37377.0
93342,0,Cash loans,F,Y,Y,2,225000.0,397881.0,22347.0
49396,0,Cash loans,F,N,N,1,202500.0,1009566.0,33493.5
227911,0,Cash loans,F,Y,N,2,144000.0,378000.0,29682.0
144543,0,Cash loans,F,N,Y,0,202500.0,513531.0,22747.5
204842,0,Cash loans,F,Y,Y,1,180000.0,523957.5,51174.0
206532,1,Cash loans,M,N,N,0,202500.0,450000.0,12001.5
273422,1,Cash loans,M,N,Y,3,112500.0,808650.0,31464.0
287384,0,Revolving loans,M,N,N,1,135000.0,270000.0,13500.0
180185,0,Cash loans,M,N,Y,1,157500.0,808650.0,31464.0
73074,1,Cash loans,M,Y,N,0,171000.0,450000.0,22018.5
