"","TARGET","CONTRACT_TYPE","CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY"
"1",0,"Cash loans","F","N","Y",0,144000,90000,9549
"2",0,"Cash loans","F","N","Y",0,108000,284400,16011
"3",0,"Cash loans","F","Y","Y",1,171000,761067,41418
"4",0,"Cash loans","F","N","Y",1,157500,835380,35523
"5",0,"Revolving loans","F","Y","Y",2,126000,382500,19125
"6",0,"Revolving loans","F","N","Y",0,67500,135000,6750
"7",0,"Cash loans","M","Y","Y",0,112500,1288350,37800
"8",0,"Cash loans","M","N","Y",0,189000,332473.5,16299
"9",0,"Cash loans","F","N","Y",2,112500,723996,29614.5
"10",0,"Revolving loans","M","Y","Y",0,225000,450000,22500
"11",0,"Cash loans","F","N","N",2,247500,753840,21735
"12",0,"Revolving loans","M","N","Y",0,90000,270000,13500
"13",0,"Cash loans","M","N","Y",0,450000,711747,56362.5
"14",0,"Cash loans","F","N","Y",0,121500,103500,6741
"15",0,"Cash loans","F","N","Y",0,157500,521280,35392.5
"16",0,"Cash loans","F","N","N",0,157500,544491,20002.5
"17",0,"Cash loans","F","Y","Y",3,634500,1092690,61015.5
"18",0,"Cash loans","F","N","Y",0,135000,728460,38938.5
"19",0,"Cash loans","M","N","Y",1,202500,429763.5,31401
"20",0,"Cash loans","M","Y","Y",0,135000,270000,17383.5
"21",0,"Cash loans","F","N","N",1,360000,912240,35631
"22",0,"Cash loans","F","N","Y",1,171000,545040,25537.5
"23",0,"Cash loans","F","N","Y",1,112500,675000,24930
"24",0,"Cash loans","M","Y","Y",0,202500,599778,32665.5
"25",0,"Cash loans","M","N","Y",1,112500,432567,23593.5
"26",0,"Cash loans","M","Y","N",0,112500,450000,24412.5
"27",0,"Cash loans","M","N","N",1,90000,384048,18679.5
"28",0,"Cash loans","F","Y","Y",0,148500,490536,17748
"29",0,"Cash loans","F","Y","Y",0,90000,323388,18693
"30",0,"Cash loans","F","N","Y",0,90000,544491,15916.5
"31",0,"Cash loans","F","Y","Y",0,189000,1143000,33547.5
"32",0,"Cash loans","F","N","Y",0,81000,117000,12730.5
"33",0,"Cash loans","F","N","N",0,225000,742500,31590
"34",0,"Cash loans","M","Y","Y",0,270000,640080,31261.5
"35",0,"Cash loans","F","N","Y",2,67500,675000,24376.5
"36",0,"Cash loans","F","N","Y",0,67500,500211,28062
"37",0,"Cash loans","M","Y","N",0,108000,622188,22477.5
"38",0,"Cash loans","F","Y","Y",0,180000,1971072,62019
"39",0,"Cash loans","F","Y","N",0,67500,380533.5,14098.5
"40",0,"Cash loans","M","Y","Y",0,157500,296280,23539.5
"41",0,"Cash loans","F","Y","N",1,180000,647046,23899.5
"42",0,"Revolving loans","F","N","Y",0,67500,202500,10125
"43",0,"Cash loans","M","N","Y",1,67500,418500,15160.5
"44",0,"Cash loans","F","Y","Y",2,135000,993082.5,39514.5
"45",0,"Cash loans","M","Y","Y",1,58500,269550,21294
"46",0,"Revolving loans","F","N","N",0,121500,270000,13500
"47",0,"Cash loans","M","Y","N",0,270000,526491,22306.5
"48",0,"Cash loans","F","Y","Y",1,315000,592560,32274
"49",0,"Cash loans","M","N","N",0,202500,269550,21294
"50",0,"Cash loans","F","Y","Y",0,135000,979992,28782
"51",0,"Cash loans","F","N","N",0,180000,945000,25056
"52",0,"Cash loans","F","N","Y",0,135000,161730,12964.5
"53",0,"Cash loans","M","N","N",0,225000,454500,27936
"54",0,"Cash loans","F","Y","Y",0,270000,685386,54148.5
