,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY
292290,0,Cash loans,F,N,Y,0,139500.0,805536.0,41260.5
119290,0,Cash loans,M,Y,Y,1,315000.0,544491.0,17694.0
161154,1,Cash loans,M,Y,N,0,180000.0,927252.0,24588.0
174839,0,Revolving loans,M,Y,Y,0,360000.0,900000.0,45000.0
265841,0,Cash loans,F,N,Y,0,90000.0,895500.0,26181.0
246872,0,Cash loans,F,Y,Y,2,90000.0,66222.0,7155.0
90153,1,Cash loans,F,N,Y,0,130500.0,450000.0,22018.5
233241,0,Cash loans,F,N,Y,2,94500.0,545040.0,25537.5
217676,0,Cash loans,F,N,Y,0,180000.0,640080.0,31131.0
82476,0,Revolving loans,F,N,Y,0,54000.0,202500.0,10125.0
227616,0,Revolving loans,F,N,Y,0,112500.0,180000.0,9000.0
287736,0,Cash loans,F,Y,Y,1,180000.0,644427.0,27301.5
44638,0,Cash loans,M,N,Y,1,90000.0,508495.5,24592.5
122394,0,Cash loans,F,N,Y,0,112500.0,494550.0,37107.0
233566,0,Revolving loans,M,N,Y,1,157500.0,450000.0,22500.0
144843,0,Cash loans,M,N,Y,0,135000.0,202500.0,9567.0
82864,0,Cash loans,M,N,Y,0,405000.0,472500.0,48546.0
264508,0,Cash loans,F,Y,Y,0,135000.0,805536.0,41260.5
32547,0,Cash loans,M,Y,Y,0,180000.0,851778.0,25033.5
172001,1,Cash loans,M,N,N,1,211500.0,247275.0,19953.0
251673,0,Revolving loans,F,Y,Y,0,270000.0,765000.0,38250.0
188536,0,Revolving loans,F,N,Y,0,162000.0,450000.0,22500.0
208319,0,Cash loans,F,N,N,0,1035000.0,1006920.0,42660.0
158070,0,Cash loans,F,N,Y,0,135000.0,1133748.0,30037.5
188287,0,Cash loans,F,Y,N,2,67500.0,299772.0,14103.0
108804,0,Cash loans,F,N,N,0,67500.0,675000.0,41427.0
11011,0,Cash loans,F,N,N,0,202500.0,473760.0,48676.5
233989,0,Cash loans,M,N,Y,0,225000.0,519633.0,41184.0
66595,0,Cash loans,F,N,Y,0,126000.0,439740.0,23854.5
257139,0,Cash loans,M,N,Y,1,450000.0,326439.0,15345.0
193761,0,Cash loans,F,N,N,0,90000.0,526491.0,29529.0
151289,0,Cash loans,F,N,Y,1,202500.0,1515415.5,41800.5
18357,0,Revolving loans,F,N,Y,0,184500.0,450000.0,22500.0
108843,0,Cash loans,F,N,N,0,58500.0,315000.0,9679.5
4919,0,Cash loans,F,N,Y,0,135000.0,662733.0,26059.5
131337,0,Cash loans,F,N,Y,0,135000.0,270000.0,10179.0
262158,0,Cash loans,F,N,Y,0,81000.0,95940.0,10309.5
57742,0,Cash loans,F,N,Y,0,135000.0,699808.5,29650.5
143583,0,Cash loans,F,Y,Y,0,121500.0,1800000.0,62698.5
102525,0,Cash loans,M,N,N,0,135000.0,900000.0,32017.5
196352,0,Cash loans,F,N,Y,0,157500.0,284400.0,16456.5
39442,1,Revolving loans,M,N,N,1,81000.0,135000.0,6750.0
78738,0,Cash loans,F,N,N,0,90000.0,111384.0,9058.5
297126,1,Cash loans,M,N,Y,1,135000.0,675000.0,26284.5
267503,0,Cash loans,M,Y,Y,0,85500.0,436032.0,21339.0
181837,0,Cash loans,F,N,N,1,225000.0,305640.0,31446.0
304722,0,Cash loans,F,N,N,0,94500.0,647046.0,19048.5
281260,0,Cash loans,F,N,Y,0,67500.0,225000.0,17905.5
262948,0,Cash loans,M,Y,N,0,157500.0,959598.0,26388.0
6933,0,Cash loans,F,N,Y,0,198000.0,675000.0,32602.5
111177,0,Cash loans,F,Y,Y,0,135000.0,188685.0,14238.0
43545,0,Cash loans,F,N,Y,0,157500.0,601470.0,32760.0
132792,0,Cash loans,F,Y,Y,1,270000.0,900000.0,40671.0
73531,0,Cash loans,M,Y,Y,0,252000.0,337500.0,24687.0
121313,0,Cash loans,F,N,Y,0,202500.0,675000.0,19867.5
164734,0,Cash loans,F,Y,Y,1,202500.0,1223010.0,51948.0
120378,0,Cash loans,M,Y,Y,0,85500.0,1042560.0,34587.0
52651,0,Revolving loans,M,N,Y,1,117000.0,450000.0,22500.0
153124,0,Cash loans,F,N,Y,0,39150.0,239850.0,23719.5
287075,0,Cash loans,M,Y,N,0,405000.0,2013840.0,55377.0
254621,0,Cash loans,M,Y,Y,0,315000.0,545040.0,39627.0
119816,0,Cash loans,M,Y,N,1,180000.0,971280.0,56920.5
285042,0,Cash loans,M,N,Y,2,450000.0,1125000.0,36292.5
176975,0,Cash loans,F,N,N,0,207000.0,497520.0,33376.5
22927,0,Cash loans,F,N,Y,0,193500.0,491031.0,33075.0
19697,0,Cash loans,M,Y,Y,0,112500.0,862560.0,25348.5
202905,0,Cash loans,F,N,Y,0,135000.0,360000.0,15381.0
168120,0,Cash loans,F,N,Y,1,157500.0,225000.0,8482.5
84321,0,Cash loans,F,N,N,1,202500.0,959598.0,28057.5
59357,0,Cash loans,F,Y,Y,1,135000.0,835380.0,40320.0
270850,0,Cash loans,F,Y,Y,0,112500.0,131922.0,5719.5
217943,1,Cash loans,F,Y,N,1,144000.0,225000.0,26833.5
8823,0,Cash loans,M,Y,Y,1,360000.0,1006920.0,51543.0
119264,0,Cash loans,F,N,Y,1,157500.0,1575000.0,58500.0
297324,0,Cash loans,F,N,N,0,157500.0,1006920.0,42660.0
216710,0,Cash loans,F,N,Y,0,135000.0,358213.5,23022.0
237169,0,Cash loans,F,Y,Y,1,225000.0,1506816.0,49927.5
98312,0,Cash loans,F,N,N,0,193500.0,239850.0,24705.0
220789,0,Cash loans,F,N,Y,0,90000.0,143910.0,17208.0
3966,0,Cash loans,F,N,N,0,216000.0,500211.0,25537.5
227181,0,Cash loans,F,N,Y,0,207000.0,1078200.0,31653.0
48173,0,Cash loans,F,N,Y,0,112500.0,315000.0,15448.5
227821,0,Cash loans,F,N,Y,1,67500.0,101880.0,10053.0
188379,0,Cash loans,M,N,Y,1,90000.0,270000.0,12586.5
80283,0,Cash loans,F,N,N,0,81000.0,299772.0,9216.0
215585,0,Cash loans,F,N,Y,0,202500.0,612612.0,26086.5
226694,0,Cash loans,F,N,Y,0,225000.0,497520.0,33376.5
137496,0,Cash loans,F,N,N,0,157500.0,544491.0,17563.5
138919,0,Cash loans,M,N,Y,0,54000.0,508495.5,26091.0
14250,0,Cash loans,F,N,Y,0,45000.0,284400.0,16011.0
294333,0,Cash loans,F,N,N,0,90000.0,787131.0,26014.5
72623,0,Cash loans,F,N,Y,0,135000.0,247675.5,19579.5
66657,0,Cash loans,M,N,N,0,180000.0,269550.0,10404.0
298348,0,Cash loans,F,Y,Y,1,270000.0,1319499.0,47524.5
29988,0,Cash loans,F,Y,Y,0,135000.0,269550.0,10534.5
207309,0,Cash loans,F,N,Y,1,112500.0,254700.0,26874.0
92078,0,Cash loans,F,N,Y,0,180000.0,339241.5,12919.5
86533,0,Cash loans,F,N,N,1,112500.0,1002726.0,35653.5
104713,0,Cash loans,F,N,Y,0,135000.0,163201.5,14089.5
24864,0,Cash loans,F,N,Y,1,180000.0,545040.0,25537.5
304391,0,Cash loans,F,N,Y,0,112500.0,1035000.0,37174.5
263537,0,Cash loans,M,N,N,1,135000.0,314100.0,21375.0
252491,0,Cash loans,F,N,Y,0,135000.0,760500.0,25263.0
86349,0,Cash loans,M,Y,Y,0,855000.0,1546020.0,42642.0
35779,0,Cash loans,M,N,Y,0,112500.0,224149.5,24268.5
223221,0,Revolving loans,F,Y,Y,1,337500.0,540000.0,27000.0
152083,0,Cash loans,M,Y,Y,0,112500.0,254700.0,27558.0
52734,0,Cash loans,F,Y,Y,1,450000.0,1125000.0,37309.5
109415,0,Cash loans,F,N,Y,0,112500.0,188685.0,11398.5
200547,0,Cash loans,M,Y,N,0,135000.0,450000.0,27193.5
53005,0,Cash loans,M,Y,Y,0,112500.0,279000.0,13549.5
26935,0,Revolving loans,F,N,Y,0,90000.0,135000.0,6750.0
74844,0,Cash loans,M,N,Y,2,157500.0,312768.0,22374.0
38715,0,Cash loans,F,Y,Y,1,112500.0,90000.0,9450.0
93119,0,Cash loans,F,Y,N,0,225000.0,675000.0,24930.0
33827,1,Cash loans,M,N,N,0,157500.0,162000.0,10674.0
86235,0,Cash loans,M,N,Y,0,65250.0,1005120.0,29520.0
23450,0,Revolving loans,M,Y,N,1,315000.0,270000.0,13500.0
129764,0,Cash loans,F,N,Y,1,112500.0,177903.0,9778.5
91521,0,Revolving loans,F,Y,Y,1,112500.0,135000.0,6750.0
78022,0,Cash loans,F,N,Y,1,180000.0,592560.0,30384.0
115709,0,Cash loans,F,N,Y,0,112500.0,330048.0,12573.0
277764,0,Cash loans,F,N,Y,2,90000.0,900000.0,26446.5
26221,0,Cash loans,F,N,N,1,54000.0,225000.0,10489.5
112466,0,Cash loans,F,Y,Y,0,157500.0,163008.0,11020.5
233941,0,Cash loans,F,N,N,0,81000.0,509400.0,37197.0
133009,0,Cash loans,F,Y,Y,0,135000.0,653328.0,25443.0
162404,0,Cash loans,F,Y,Y,0,337500.0,1800000.0,62698.5
272920,0,Cash loans,F,N,N,0,99000.0,450000.0,21649.5
68776,0,Cash loans,M,Y,N,0,315000.0,1546020.0,45202.5
52884,0,Revolving loans,F,N,Y,0,135000.0,270000.0,13500.0
70219,0,Cash loans,F,N,N,0,112500.0,675000.0,28597.5
115592,1,Cash loans,M,Y,N,0,112500.0,225000.0,13896.0
117288,0,Cash loans,M,Y,Y,0,180000.0,1206954.0,39064.5
54350,0,Cash loans,M,N,Y,1,180000.0,592560.0,35937.0
160683,0,Cash loans,M,N,Y,1,180000.0,269550.0,16285.5
306676,1,Cash loans,M,Y,Y,0,225000.0,790830.0,62613.0
207967,0,Cash loans,M,Y,Y,0,337500.0,904500.0,26446.5
250869,0,Cash loans,F,N,Y,0,90000.0,568800.0,18477.0
169043,0,Cash loans,F,N,Y,1,112500.0,1372500.0,36333.0
211756,0,Cash loans,F,Y,Y,0,135000.0,728460.0,44694.0
264201,0,Revolving loans,F,N,Y,0,153000.0,270000.0,13500.0
301545,0,Cash loans,M,Y,Y,1,157500.0,272520.0,21528.0
253094,0,Cash loans,M,N,Y,0,247500.0,1971072.0,68643.0
38160,0,Cash loans,F,N,Y,0,171000.0,472500.0,46161.0
133168,0,Cash loans,F,N,N,1,67500.0,545040.0,20677.5
29386,0,Cash loans,F,Y,N,1,67500.0,284400.0,13257.0
191901,0,Cash loans,F,N,N,2,225000.0,490536.0,22864.5
8046,0,Cash loans,F,N,N,0,351000.0,755190.0,36459.0
221572,0,Cash loans,F,N,Y,0,247500.0,328405.5,24682.5
257040,0,Cash loans,F,N,N,1,112500.0,454500.0,21865.5
212694,0,Cash loans,M,N,Y,1,270000.0,503266.5,52978.5
248523,0,Cash loans,F,N,N,0,67500.0,106974.0,12825.0
59490,0,Cash loans,M,Y,Y,0,450000.0,985221.0,52623.0
148668,0,Cash loans,F,Y,Y,0,202500.0,1350000.0,39604.5
145343,0,Cash loans,M,N,Y,1,157500.0,254700.0,26874.0
85980,0,Cash loans,F,N,Y,0,288000.0,547272.0,43366.5
228650,0,Cash loans,F,Y,N,0,157500.0,254700.0,18531.0
165875,1,Cash loans,F,N,N,0,202500.0,900000.0,31887.0
98330,0,Cash loans,F,N,Y,0,67500.0,490500.0,15822.0
5783,0,Cash loans,F,Y,N,0,180000.0,585000.0,46350.0
205828,0,Cash loans,M,N,N,0,225000.0,1032133.5,34240.5
